step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.649263,1.00e-04,2.7,8463
2,0,0.019812,1.00e-04,3.1,8482
3,0,0.134211,1.00e-04,3.5,8482
4,0,0.070271,1.00e-04,3.8,8482
5,0,0.376862,1.00e-04,4.2,8495
6,0,0.367179,1.00e-04,4.5,8508
7,0,0.489664,1.00e-04,4.9,8508
8,0,0.124834,1.00e-04,5.2,8508
9,0,0.083445,1.00e-04,5.5,8508
10,0,0.508247,1.00e-04,5.9,8508
11,0,0.170904,1.00e-04,6.2,8508
12,0,0.444664,1.00e-04,6.6,8508
13,0,0.168294,1.00e-04,6.9,8508
14,0,0.051450,1.00e-04,7.3,8508
15,0,0.048746,1.00e-04,7.6,8508
16,0,0.168442,1.00e-04,7.9,8508
17,0,0.185901,1.00e-04,8.3,8508
18,0,0.145175,1.00e-04,8.7,8508
19,0,0.055713,1.00e-04,9.0,8508
20,0,0.079967,1.00e-04,9.4,8508
21,0,0.009215,1.00e-04,9.7,8508
22,0,0.047039,1.00e-04,10.1,8508
23,0,0.076611,1.00e-04,10.4,8508
24,0,0.231346,1.00e-04,10.7,8508
25,0,0.141973,1.00e-04,11.0,8508
26,1,0.239255,1.00e-04,11.5,8508
27,1,0.029074,1.00e-04,11.8,8508
28,1,0.032581,1.00e-04,12.1,8508
29,1,0.339521,1.00e-04,12.5,8508
30,1,0.122920,1.00e-04,12.9,8508
31,1,0.041616,1.00e-04,13.2,8508
32,1,0.191443,1.00e-04,13.6,8508
33,1,0.131429,1.00e-04,13.9,8508
34,1,0.055751,1.00e-04,14.3,8508
35,1,0.077035,1.00e-04,14.6,8508
36,1,0.010960,1.00e-04,14.9,8508
37,1,0.004407,1.00e-04,15.3,8508
38,1,0.039566,1.00e-04,15.6,8508
39,1,0.082145,1.00e-04,16.0,8508
40,1,0.169304,1.00e-04,16.3,8508
41,1,0.174858,1.00e-04,16.6,8508
42,1,0.054194,1.00e-04,17.0,8508
43,1,0.454775,1.00e-04,17.3,8508
44,1,0.284529,1.00e-04,17.7,8508
45,1,0.025908,1.00e-04,18.0,8508
46,1,0.290977,1.00e-04,18.3,8508
47,1,0.211699,1.00e-04,18.7,8508
48,1,0.325688,1.00e-04,19.0,8508
49,1,0.175629,1.00e-04,19.4,8508
50,1,0.030883,1.00e-04,19.7,8508
51,2,0.021620,1.00e-04,20.1,8508
52,2,0.104746,1.00e-04,20.4,8508
53,2,0.006389,1.00e-04,20.8,8508
54,2,0.186878,1.00e-04,21.1,8508
55,2,0.124531,1.00e-04,21.4,8508
56,2,0.107873,1.00e-04,21.8,8508
57,2,0.288246,1.00e-04,22.1,8508
58,2,0.500629,1.00e-04,22.5,8508
59,2,0.192807,1.00e-04,22.8,8508
60,2,0.262296,1.00e-04,23.2,8508
61,2,0.016014,1.00e-04,23.5,8508
62,2,0.023717,1.00e-04,23.9,8508
63,2,0.280575,1.00e-04,24.2,8508
64,2,0.305643,1.00e-04,24.5,8508
65,2,0.103557,1.00e-04,24.9,8508
66,2,0.181558,1.00e-04,25.2,8508
67,2,0.466197,1.00e-04,25.6,8508
68,2,0.125096,1.00e-04,25.9,8508
69,2,0.393826,1.00e-04,26.2,8508
70,2,0.072357,1.00e-04,26.6,8508
71,2,0.135665,1.00e-04,26.9,8508
72,2,0.160102,1.00e-04,27.3,8508
73,2,0.267828,1.00e-04,27.6,8508
74,2,0.073863,1.00e-04,28.0,8508
75,2,0.136858,1.00e-04,28.3,8508
76,3,0.020796,1.00e-04,28.6,8508
77,3,0.092069,1.00e-04,29.0,8508
